# ShortMsgKAT_r1344c256.txt
# Algorithm Name: Keccak
# Principal Submitter: The Keccak Team (Guido Bertoni, Joan Daemen, Michaël Peeters and Gilles Van Assche)

Len = 0
Msg = 00
Squeezed = BCF56AC882AD981CD0FA74F0F397572C28801C1EB31C1BAC4CA703D6F19E9419D693BA6C2B55EFBF139777FA6BED9421506F9F27D462E7AACFF3202A88CA23895265C9AF63C4B0244CF3311F3F2839D7A86B94C8B951DF8B348C9C46FB6AF99BA560CF8CA75DC0389E1CFA52347D021FF95AFA282A3FC12537CB23F31933F018F48645191F95FD044FAF3822A399C9FF23639DB8E1D31D0B588F4E0607C90D6711724282BC9C7E68470DE2068A4D5F4EE9E78F0161B0DD01D2FCDE5C9E0E046C435B580AE631F8F16163A630EAE06079D72DA0E5CBA9C7DB9B48DAC57BD2D4E9F9328D6545C356CAFB4ED136151D4B45618D232BDA2721CAB30C9F7008ABBD705B3EE0C08EDE7FCBEEB427A5F3852BFF3586E58FDEDE3FE6036CDCB08EA1B1C1C3B7C1549F3E41477245D8686C312D6D9C71EDB983D3B05AA0645A6B797067B3FA1AAA2ED9B039A427396DA679AB245705C2B901EFE220F659FBDD4E7D2B6CE91E18FEAD0BCAE96F3EE021CCF9E6854B6E64BA58029622255B120684B44C6EF22BC9BC8C28C2B322805C38BEAFAC6B39C8A235525F53A057891E8313950D09C03F54865D6C672C6B73486587E4EBC7D84764FDBA4DC4845A2145C3ECB9925181A6DC4580D049553FC8C7E35CFA22688D992B80CD6D92AEC28EA2CE810D2F37B02AB00DAE1940DE8602B98FE36ACC651B502F11346D3233000AF0E0C6041A1BCA

Len = 1
Msg = 00
Squeezed = E54C3CECEDDE71E3EB6DD96E8DB00F6A18001695D267ED69B177CF957CDBD1EC02534A7DCB4A1B66BA3E36D8D223FDBFA98344A7B8745E10B58854421D2CB7169F0E5F9CBF6E54374150C91AF35807FC64FFC1D4E7D8D2B4A2606AEFB8C12B87B58EC0735CDF2E1580AD947847CB23C4B1100CF68F71F9A19FE5AB26590B361B39BB70F3D0E5A22D758898CDC978C0262C6EBF8B83AED99A265E5A2141F32B6518CB984C48CE7FF82526D9005E18E6FC6A8AF9942A727264B8E91BC2665B53401FF65C8E297B3ECBA5DFB99C588E3D22E1BDEC93A578DFDFE5D0305226BCFB28E9358E20F17EB5403879908936E03CBDA997A05411961521555B9CD55F7DF9FF30718AA66ECE83C3BBEFBEA481EC87631FE8E7D7380BE21B6A4EC0F61557F4EF13655A4FE2A7DFE2F509E0387B5F7910AEEA13719986F9F97ACEE72063C37B5549567EEF3EBA5EB821B1372367ADE46AD8ED1F489349E31F9E2C3F92B4A9E9878452D7A7382DAE6D529516D3C837B49CFFF808879E1B6E65D4DD83E860F1A211A32A0470A1AA9001653990849BCE6D0A768DCBB28B16A36EE530C322BF2B8F9A7CD45357BAD8921BFF12DE3087C38B63E45DC9DFE59FC017511ED3AFB8794D4EF3B6743E1E2AEDA9BDBD776039DAB2145D6274783E8E0B5A7178B0B24E79066A4F6643BD698CCCA83967D7E6E164BD262B60A2C54CE500FAE6C3CF1F51BD42D9

Len = 2
Msg = C0
Squeezed = FA019A3B17630DF6014853B5470773F13C3AB704478211D7A65867515DEA1CC7926B2147E396076B22CB72633AF50647C7F23D0D8F001D6D8DAF0F6F2E92FC0EB0B52819062A6537A7753ACE55690EFC5F9AD847D414CB9F387FF66D849A47C209D6470189A802FF0EA7CFF30515A7E102267B413885A3925F6506B4613717ACA48195CFB075AF6C5D93F813056D9215FF2A44E328EE25D039270798D2609D9C1CA03F0E0F1A550352A20A54C95C3ADE4BD3762360673B32A8A0A984FA2A4126AD03240B46E181F2AB0AD7D1B07B025548F5C09B900533CFACE06C850873C835BE5C17AEFFAE03446457744258DDCF4A994A5E21CD7A0660F5952C7C4C0D594EE4361508D9ED73256F35EFA968FFCC47EBB67F03135210DCDA5D33EBA36A0A9C3AC9A791D7C10F6849A7A1C21E7122A99990D28891B3378CAAC0227EEE6642A2AF6597D874D47AA3A73CF1580DA135C40BE7FB5A3FD804100E049FE72F3201FAF16E3FE29207DD5E02D529F1AB1A69119F5272F0F73BD527FA4ECB539B4EDA200A4CC07137022AD152076D06C960734B609DA760E07F5600E18E2C2167F75849E49E5E29E0A3DE680BE01A79157647AB5E1E57FC10A927DBDB2825D7CAAEC77567870B1C7722B1FA073977D342A03EE4FCE57BE3DF5E70892869FB347C01CBCEA39C044019D8BA08713716F2C9F00A1107A106EDE6522CB1E57CC7B7FE1DE3D3

Len = 3
Msg = C0
Squeezed = 88F0374D04FC222211A2BC83E6F7F90B8B298C57850D0358B3D004807922B9564FD54A0850166FAC0AC405AF0431A3F72483325D9C1C7A1768E47509AADB6CDF972E24B91AE66B7F82F749199538D953F6815C911C2FABC5296DD7C8AA266A95C38807C7EFE5988A9E920FB2D2715D804A023EEF9DF70DF55AE52BF8754165AFC3010D7F14787FABB1ADE69546AF866D2B295E72D9E63B52AB56A3971C935C54D70FFE17C2F62CCD974729A9212FFC4ED60A5E0FD73803717B745987E80D3410598B711AA676B5A4340A295B521D49FED31A9528019785E799D5CBFF9B37796E493F1996CB12B293F98C53D307CA4D74C1C8E8C4548F59036359392050A0A724484CB5C0D82A34B10C6D59E7CBE3B3928A0C0EB8FFBFA8D91E63B252FE3B283B63BCC339149291DF242F4E1ACBF2DB4D451C8DD49A6636C035EE236F774287607892FC96BD47396743844C21F39CA4CAC408C6B31A4ED2BD5578D54A1B0618124A938EEB0B2F96AAF9303B4C8A5C47E51CAE9ACCA7DB6A060683D29A94827101DB260529FA90C12B79B0595C2355BC32ED5E3F9A6D05E59206CA3FA897B0DC1BE48BFDE8F246B59905AB62BC907A00DA0E69F7843CCEC36D5DF39C255A398D75D141E501921ADDA552857892419965408D2A226B6111FB731438346C9D20E92280E0D0903902F20BE18877347A85CCE35F6DB9ECE674498888BF2BB0BA71F153

Len = 4
Msg = 80
